,PCT filing number,Patent number,PCT filing date ,Title of invention (English),Owners,Company/ResaerchOrganization/Individual,Country of Owner,Inventors,Country of Inventor,Invention aspect ,Type of mechanism or work involved,Plant used,Treatment,Commercial status,Grant date,PCT publication date, International Patent Classification 
143,219/DEL/2006,250021,25-01-2006,a novel herbal composition effective as anit pyretic and to a process for the preparation thereof,"DIRECTOR, CENTRAL COUNCIL FOR RESEARCH IN UNANI MEDICINE",Research organization ,India,Mohammad khalid siddiqui,India,"Effective treatment for
Fever and to a method of preparation thereof which has no toxicity or
untoward effect after prolonged administration in children ",Herbal formulation ,"Cuminum cyminum, Piper longum, Caesal pinia bonducella, Acacia arabica , Calx gypsum",Antipyretic,Y,2011-11-29 00:00:00,2011-12-02 00:00:00,
144,2770/MUMNP/2008,249456,29-12-2008,Reduced calorie beverage with non-nutritive sweeteners and tea extracts for reduction of off-taste,THE CONCENTRATE MANUFACTURING COMPANY OF IRELAND ,Company,India,"Johnson, winsom, roy ,glenn,LEE, thomas",U.S.A,Better Taste ,Tea extracts,-,-,Y,2011-10-20 00:00:00,2011-10-28 00:00:00,
145,2128/MUM/2006,249299,26-12-2006,A synergistic herbal formulation for the treatment of renal condition,PATANKAR SURESH,Individual,India,PATANKAR SURESH,India,Synergistic herbal preparation,"Capsule,Tablet","Tribulus terrestris, coriander, Zea mays, Arctostaphylos uva-ursi, Galium aparine, Viburnum opulus, Eupatorium purpureum, Piper methysticum, Ammi visnag, Hydrangea ahorescens, Collinsonia canadensis",Kidney stones,N,2011-10-17 00:00:00,2011-10-21 00:00:00,
146,218/DEL/2006,249186,25-01-2006,a novel herbal composition effective against coryza and a process for preparing thereof ,"DIRECTOR, CENTRAL COUNCIL FOR RESEARCH IN UNANI MEDICINE",Research organization ,India,Mohammad khalid siddiqui,India,Effective,Herbal composition,"Ocimum sanctum, Cinnamomum zeylanicum, Ptychotic ajowan, Zingiber officinale, Tynospora cordifolia",Against coryza ,Y,2011-10-10 00:00:00,2011-10-14 00:00:00,
147,215/DEL/2006,249180,25-01-2006,"a herbal composition effective against nazfuddam and a process for the preparation thereof""","DIRECTOR, CENTRAL COUNCIL FOR RESEARCH IN UNANI MEDICINE",Research organization ,India,Mohammad khalid siddiqui,India," Cheaper, more effective
and free from side effects","Dehydration of shibb-e-yamani;
, grinding of Geru and Gond Babool;
, the three ingredients of step (a) and (b) were thoroughly
mixed to form a mass by sprinkling purified water
followed by drying of the mixture in an oven at 85-105°C
for 3-4 hours","Alum, Bole rubra, Acacia arabica",Against Nazfuddam,Y,2011-10-10 00:00:00,2011-10-14 00:00:00,
148,478/MUM/2006,249133,29-03-2006,Herbal composition comprising extract of root of murraya koenigii for treatment of infections caused by dermatophytes,Nicholas PIRAMAL LIFE SCIENCES LIMITED,Company,India,"Kadam,kavita,Muthusamy V.S, Sapre, Dhananjay",India,Effective,"Lotions,gels,cream,dusting powder,wax based sticks",Murraya koenigii,Treating dermatopytic infection,Y,2011-10-03 00:00:00,2011-10-07 00:00:00,
149,1911/CHE/2007,248873,27-08-2007,A synergistic herbal composition having anti-stress and memory enhancing activity,CENTURY BIOLOGICALS PRIVATE LIMITED,Company,India,"Ella krishna Murthy, Ella suchitra krishna,Rudrapattana puroshotam ananda alwar,Kaippangala Vinaya gopal",India,No Information available ,No Information available ,"Withania somnifera, Bacopa monnieri","Anti stress, enhances memory",Y,2011-09-05 00:00:00,2011-09-09 00:00:00,
150,2507/DEL/2004,248784,16-12-2004,Development of harbal nutritious chocaeate and its processing,COUNCIL OF SCIENTIFIC AND INDUSTRIAL RESEARCH,Research organization ,India,"Palpu pushpangadan, Chandana venkateswara rao,  Ajay kumar singh rawat, Sanjeev kumar ojha, Gaddam Dayanand Reddy",India,"Herbal, nutritious",Chocolate with herbal ingredients ,"Tinospora cordifolia, Glycyrrhyza glabra, Adhatoda vasica, Madhuca indica, Cassia occidentalis","Treatment of anti fatigue, anti stress agent, provides vitality, energy",Y,2011-08-24 00:00:00,2011-08-26 00:00:00,
151,2504/DEL/2004,248560,16-12-2004,anticigarette herbal formulation as an anti-dote to tobacco,"COUNCIL OF SCIENTIFIC & INDUSTRIAL RESEARCH,CSIR, INDIA.,MIR HOLISTICS PRIVATE LIMITED",Research organization ,India,"Palpu pushpangadan, Chandana venkateswara rao,  Ajay kumar singh rawat, Raghavan Govindarajan, Joy varghese, arun kumar rawat, oommer rowther mohammad ifthikar",India,Page was not accesible,Page was not accesible,"Sesbania grandiflora, Catharanthus roseus, Ocimum sanctum, Myristica fragram, Elettaria cardamomum, Carum copticum, Syzygium aromaticum, Cinnamomum tamala, Acorus calamus, Zingiber officinale, Piper nigrum, Cinnamomum zeylanicum, Cuminum cyminum, Nigella sativum, Cinnamomum camphora, Piper longum, Ocimum gratssimum, Hemidesmus indicus",Antidote for tobacco,Y,2011-07-25 00:00:00,2011-07-29 00:00:00,
152,58/MUM/2005,248096,19-01-2005,Herbal contraceptive formulations,SINGH KAMALINDER KAUR,Individual,India,"SINGH KAMALINDER KAUR,Tatke,pratima arun, dhuru , shruti",India,High spermicicdal activity ,Intra vaginal gel and fast disintegrating contraceptive vaginal tablets,Annona squamosa,Contraceptive,Y,2011-06-16 00:00:00,2011-06-17 00:00:00,
153,858/DEL/2004,247615,11-05-2004,a polyherbal composition for the treatment of viral hepatitis ,"OHARI, VIJAY KUMAR",Individual,India,"OHARI, VIJAY KUMAR",India,It has been observed that complete recovery is achieved in about 98% of the cases,"Mixing seeds of Lactuca
Serriola Linn,; Portulaca Oleracea Linn, and Chicorium Endivia Linn, powdering said
mixture of seeds to form a first powder, powdering kernels of Lagenaria Siceraria to form
a second powder, intimately mixing said first and second powder to produce said
composition","Lactuca serriola, Portulaca olereacea, Chicorium endivia, Lagenaria siceraria ",Hepatitis,N,2011-04-27 00:00:00,2011-04-29 00:00:00,
154,233/MUM/2003,247575,27-02-2003,Herbal skin-care composition,THE KELKAR EDUCATION TRUST'S SCIENTIFIC RESEARCH CENTRE,Research organization ,India,"Mainkar A.R. , Kelkar G.D. ,  Heble M.R, Sundaram S",India,Effective in activity ,Herbal skin composition ," Swertia decusatta, Eclipta alba, Santalum album, Parmelia species, Adhatoda vasica, Ginkgo biloba, Bacopa monnieri, Centella asiatica ",Skin care,Y,2011-04-25 00:00:00,2011-04-29 00:00:00,
155,155/MUM/2008,247558,23-01-2008,Herbal extract and ayurvedic composition for the treatment of diabetics,"RAMCHANDRA SADASHIV DAMLE, AHMED MOHAMMED MOLDHARIA",Individual,India,"RAMCHANDRA SADASHIV DAMLE, AHMED MOHAMMED MOLDHARIA",India,Effective in activity ,Capsules,Momordica Charantia ,Diabetes,N,2011-04-20 00:00:00,2011-04-22 00:00:00,
156,2420/CHE/2007,247037,25-10-2007,Soft drink based on indian goose berry extract,DR.S.K.PRAKASH,Individual,India,DR.S.K.PRAKASH,India,Not mentioned,Herbal soft drink,Enblica officinalis,Soft drink preparation,N,2011-03-25 00:00:00,2011-04-01 00:00:00,
157,2310/CHE/2007,246859,12-10-2007,A herbal composition comprising plant parts of stevia species and coffee beans,SCMS INSTITUTE OF BIOSCIENCE AND BIOTECHNOLOGY RESEARCH AND DEVELOPMENT,Research organization ,India,"Chinamma Mohankumar, Jayashree Gopalkrishna Pai, Harish Madhawarries, reeja rajab, Anu yamuna joseph",India,Suitaible for diabetes mellitus patients ,Stevia and coffee beans ,"Stevia sp., coffee beans",-,Y,2011-03-18 00:00:00,2011-03-25 00:00:00,
158,367/CHE/2007,245840,23-02-2007,A silk-protein based bilaminate film for wound healing and method of preparing the same,MR. BHARAT TANDON,Individual,India,MR. BHARAT TANDON,India,Not availabe,Not availabe,-,Wound healing,N,2011-02-03 00:00:00,2011-02-11 00:00:00,
159,3501/DELNP/2004,245725,09-11-2004,a herbal composition useful for gastro-intestinal disorders & process thereof,"GODFREY PHILLIPS INDIA LTD.,COUNCIL OF SCIENTIFIC & INDUSTRIAL RESEARCH ",Research organization ,India,"Palpu pushpangadan, Chandana venkateswara rao,  Ajay kumar singh rawat, Sanjeev kumar ojha, shanta mehrotra, amresh",India, Novel synergistic herbal formulation ,Herbal formulation ,"Mangifera indica, Cissamplelos pareira, Cinnamomum sp., Buchanania lanzan ",Gastroinstestinal disorders,Y,2011-01-31 00:00:00,2011-02-04 00:00:00,
160,989/DEL/2005,244788,20-04-2005,a synergistic aphrodisiac herbal composition ,"COUNCIL OF SCIENTIFIC & INDUSTRIAL RESEARCH., ",Research organization ,India,"Palpu pushpangadan, Chandana venkateswara rao, Raghavan Govindarajan, Sharad kumar srivastava,Ramamurthy ravi, Namita sethi, Robin rahul sethi, Eknath govindram Udyavar, Ajit suryanaryan ",India,Synergistic Combination ,"Powder,granules","Marticaria chamomilla, Hygrophila auriculata, Aquilaria agallocha, Valeriana wallichii, Nordostachys jatamansi, Artemisia pallen, Evolvulus alsinoides, Ficus benghalensis, Echinops echinatus, Lobelia nicotianaefolia, Mucuna pruriens, Tribulus terrestris",Synergistic,Y,2010-12-20 00:00:00,2010-12-24 00:00:00,
161,IN/PCT/2001/00453/DEL,244699,31-05-2001, an improved composition of a drug,MALIREDDY S. REDDY,Individual,India,Not mentioned ,-,"When combined in one preparation, the probiotics
cause me medicinal preparation to act at a faster rate, compared to the medicinal
preparation without the probiotic",-,-,-,-,2010-12-15 00:00:00,2010-12-17 00:00:00,
162,695/CAL/2000,244525,19-12-2000,A process for preparation of a herbal skin nourishing gel,INDIAN INSTITUTE OF TECHNOLOGY,Research organization ,India,"DEY SATYAHARI, DAS SUSOBHAN AND PAL SANJAY,",India,"Non-toxic, oil-free and has soothing
effect on the skin.",Gel ,No specific plant mentioned,Skin nourishment (herbal gel preparation technique),Y,2010-12-09 00:00:00,2010-12-10 00:00:00,
163,717/DEL/2003,244133,21-05-2003,a process of preparing a synergistic herbal ayurvedic ointment ,JOSEPH PALLIKARA JOHN,Individual,India, JOSEPH PALLIKARA JOHN,India,"Non-greasy, stains free, washable, deep penetrating through
the skin without burning of the skin, non habit forming and fast healing",Ointment ,"Comiphora mukul, Eucalyptus globulus, Syzygium aromaticum, Gultheria fragrantissima, Cinnamom camphora, Mentha arvensis",Synergistic ointment,N,2010-11-19 00:00:00,2010-11-26 00:00:00,
164,582/DEL/2003,244034,08-04-2003,a herbal composition against bronchial asthma and process for preparation thereof,"THE DIRECTOR, CENTRAL COUNCIL FOR RESEARCH IN UNANI MEDICINE",Research organization ,India,"Mohammed Yousuf, Seem a akbar,Irfat ar, khalid mahmood siddiqui, Suhail mustafa adhami, Shamshad ahmad khan anish ahmad anasari",India,"Seventy four percent cases have responded to the treatment,It is completely safe. ",Herbal composition,"Linum usitatissimum, Trigonella foenum-graecum, Allium sativum, Strychnos potatorum, Coesalpinia bonducella, garlic",Asthma,Y,2010-11-15 00:00:00,2010-11-19 00:00:00,
165,816/DEL/2004,244027,30-04-2004, a synergistic herbal composition for the treatment of animal bite especially snake bite and early stages of hydrophobia.,"PRASAD VAIDYA BANKE,GUPTA KRISHNA CHANDRA,MALL TRIVENI",Individual,India,"PRASAD VAIDYA BANKE,GUPTA KRISHNA CHANDRA,MALL TRIVENI",India,Synergistic herbal preparation,"Patients of animal bites especially snake bite are given first dose followed b\ a
second dose of 20 ml of the decanted solution after 15 minutes It has been
observed that the patients usually recover.
In case of hvdrophobia which hydrophobra has onset and is not in advanced stage,
the patients are dosed 3 ames a day, each being 20 ml. Patients are known to
recover within a few days","Crotalaria prostrata, Solanum suratiense, Cassia occidentalis, Tinospora cordifolia","Animal bites, hydrophobia",N,2010-11-15 00:00:00,2010-11-19 00:00:00,
166,542/DEL/2004,243944,22-03-2004,a medicinal compostion useful in treatment of hiv/aids,BANARSI LAL DUA,Individual,India,BANARSI LAL DUA,India," The preparation of the composition no chemical reaction is involved,The composition prepared by the present invention has no side effects and treatment is
cost effective and involves the expenditure of Rs. 1000/- per month in average","The patients suffering from ADDS/HIV infection are advised to swallow 2
capsules of 500 mg three times a day for first three months. Thereafter for next three
months 2 capsules two times a day are to be taken and finally one Capsule three times a
day for six month for effective treatment of the patient","Emblica officinalis, Terminalia bellerica, Azadirachta indica, Terminalia chebula, Curcumma longa, Andrographis paniculata, Ocimum sanctum, Cinnamommum zaylanicum, Coccinie indica, Plumbago zehlanica, Eletaria cardamomum, Boerhaayia diffuse, Rosamarinus officinalis, Pterocarpus santalinus, Smilax chapo, Picrohiza kurrooa",HIV/ Aids treatment,N,2010-11-11 00:00:00,2010-11-19 00:00:00,
167,922/MUM/2006,243835,13-06-2006,Herbal composition for relieving pain from joints and bones and method thereof,BABULAL BHAWARLAL JAIN,Individual,India,Anki Nagi reddy,India,No side effects ,Herbal composition,"Aristolchia indica, Balsamodendron mukul, Cassia tora, Hemidesmus indicus, Withania somnifera, Pterospermum, Strychnos nux vomica, Vitex Negundo",Joints and bones pain,Y,2010-11-09 00:00:00,2010-11-12 00:00:00,
168,1928/DEL/1997,243564,10-07-1997,a process for the preparation of a herbal composition for the treatment of viral infections,SAGE R&D,Research organization ,Ohio,SHIE-MING Hwang,China,Good effect ,Process for herbal composition ,"Aeginetia indica, Dichonra micrantha, Striga lutea and Dichondra repens, Scutellaria barbata, Scutellaria rivularis and Scutellaria dependens, Forsythia saspensa, Forsythia viridissima and Forsythia koreana, Lonicera japonica and Lonicera confasa, Prunella uulgaris and Prunella vulgaris subsp. asiatica, Polygonum cuspidatum, Polygonum runcinatum and Polygonum reynoutria, Blechnum orientate, Osmunda japonica, Woodwardia orientalis, Woodwardia unigemmata, Athyrium acrosttchoides, Sphaeropteris lepifera, Cyrtomiumfalcatum and Cyrtomiumjortunei, Dryopteris crassirhizoma, Ligustrum lucidum and Ligustrumjaponicum, Solanum nigrum, Lespedeza cuneata and Senecio scanden,  Hedyotis diffiisa",Viral infections,Y,2010-10-26 00:00:00,2010-10-29 00:00:00,
169,585/DEL/2004,243225,24-03-2004,A process for the preparation of antioxident from black cumin (nigella sativa.) seeds,COUNCIL OF SCIENTIFIC & INDUSTRIAL RESEARCH,Research organization ,India,COUNCIL OF SCIENTIFIC & INDUSTRIAL RESEARCH,"Mysore annalah hairsh nayaka, shylaja mallah dharmesh, belur ramaswamy Iyengar lokesh"," It may not offer side effects since not many blended varieties are
needed in the formulation",Process for herbal composition ,Nigella sativa,Antioxidant,Y,2010-09-30 00:00:00,2010-10-01 00:00:00,
170,1053/DEL/2005,242959,28-04-2005,a medicated herbal tea and a process for the formulation thereof,"DIRECTOR GENERAL, DEFENCE RESEARCH & DEVELOPMENT ORGANISATION, MINISTRY OF DEFENCE",Research organization ,India,"Om prakash chaurasia, Basant ballabh, B.raut",India,NO Record was found,NO Record was found,"Achillea millefolium, Rhodiola imbricata, Bidens pilosa, Origanum vulgare, Mentha longifolia, Ocimum basillicium, Rosa webbiana, Bunium persicum, Dactylorhiza hatagirea, Hippophae rhamnoides, Carum carvi",Herbal tea,Y,2010-09-22 00:00:00,2010-09-24 00:00:00,
171,370/DEL/2003,242803,25-03-2003,a process for preparation of herbal dye suitable for cotton and wollen fabric,CSK HIMACHAL PRADESH KRISHI VISHWAVIDYALAYA.,Research organization ,India,"Asha bansal, Anjali sood and anjali sharma",India,"The process is simple and no sophisticated machinery is
required",Herbal dye,"Carya illinoensis, Bidens pilosa, Eupatorium adenophorum, Premus armeniaca, Litchi chinensis",Herbal dye,Y,2010-09-13 00:00:00,2010-09-17 00:00:00,
172,135/DEL/2003,242387,18-02-2003,Herbal health protective and promotive nutraceutical formulation for diabetics and process for preparing the same,COUNCIL OF SCIENTIFIC AND INDUSTRIAL RESEARCH,Research organization ,India,"Palpu pushpangadan, Dhan prakash",India,"Safe, Effective","Powder, granules, suspension, biscuits, tablets or capsules","Gymnema sylvestre, Momordica charantia, Syzgium cumini, Pterocarpus marsupium, Trigonella foenum-graecum, Cinnamomum tamala, Withania somnifera, Coccinia indica, Pueraria tuberosa, Asparagus recemosus, Boeraavia diffusa, Aegle marmelos",Diabetes,Y,2010-08-25 00:00:00,2010-08-27 00:00:00,
173,1523/CHE/2005,241754,21-10-2005,Herbal formulation for treatment of haemorrhoid and the process for preparation thereof,VENKATESWARA AYURVEDA NILAYAM LIMITED,Research organization ,India,Not mentioned ,-,"Easy,effective","Capsule,ointment,pesseries","Balsamodendron mukul, Bamboo camphor, Embelia ribes, Terminalia chebula, Embelia ribes, Terminalia bellerica",Haemorrhoid treatment,-,2010-07-23 00:00:00,2010-07-30 00:00:00,
174,1243/MUM/2005,241583,03-10-2005,A herbal pain- relief composition,"PHARMACON REMEDIES [BOMBAY] PVT. LTD.,",Company,India,"Puliyakot,panthalingal sukumar",India,Effective in activity ,Herbal preparation,"One essential pain-relief oil, lemon grass oil, winter green oil, menthol, camphor and at ieast one non-petroleum base",Pain relief,Y,2010-07-14 00:00:00,2010-07-16 00:00:00,
175,101/DEL/2005,241184,17-01-2005,a herbal namkeen tea powder and a process for the preparation thereof,"DIRECTOR GENERAL, D.R.D.O. NEW DELHI",Individual,India,"Rajio singh, prem singh negi, narendra kumar, raghwendra singh, devendra singh bhakuni",India,Cost effective and easily available ,Tea powder,"Taxus baccata, Thymus serpyllum, Ocimum gratissimum, Angelica, Centella asiatica, Elettaria cardamomum, Zingeber officialis, Piper nigrum",Tea powder,Y,2010-06-23 00:00:00,2010-06-25 00:00:00,
176,260/DEL/2004,240652,23-02-2004,a herbal formulation for toothache and related disorders and a process for preparation thereof,COUNCIL OF SCIENTIFIC AND INDUSTRIAL RESEARCH,Research organization ,India,"Hemant kumar pandey, puran singh rawat, Narendra kumar, Gauri shanker verma",India,Effective,Herbal Face cream,"Zanthoxylum armatum, Spilanthes acmella, Potentilla fulgans, Hedychium spicatum ",Toothache,Y,2010-05-21 00:00:00,2010-05-28 00:00:00,
177,1028/DEL/2004,240420,04-06-2004,a formulation for herbal face cream suitable for oily skin ,COUNCIL OF SCIENTIFIC AND INDUSTRIAL RESEARCH,Research organization ,India,"Raj shekar singh, jagdish, shailendra Kr. Singh, debjit pal",India,The present formulation is completely herbal in nature with no inorganic chemicals ,Herbal Face cream,"Curcuma longa, Citrus medica var acida, Citrus reticulata, Daucus carota, Cucumis sativus, Citrullus vulgaris",Skin related,Y,2010-05-10 00:00:00,2010-05-14 00:00:00,
178,1330/DEL/2004,240422,19-07-2004,a herbal composition for the treatment of hiv and a process of preparing the same,"PANDEY , SANTOSH KUMAR ",Individual,India,"PANDEY , SANTOSH KUMAR ",India," Synergistic herbal composition, which has no side effects",Herbal composition,"Azadiracta indica, Piper longum, Alstonia scholaris, Acconitum heterophyllum, Cassia fistula, Picrorhiza kurroa, Cissampelos pareira, Cyperus rotondus, Emblica officinalis, Terminalia chebula, Terminalia belerica, Trichosenthes dioica, Oldenlandia herbacea, Alaagi camelorum, Pterocarpus santalum, Prunus pudum, Curcuma longa, Berberis aristata, Acorus calamus, Citrulls colocynihis, Adds kendens, Hemidesmus indicus, Holarrhena antidysentrica, Adhatoda vasica, Sanseviera zeylancia, Tinospora cordifolia, Swertia chirata, Glycyrrhiza glabra, Gentiana kurroa, Witania somnifera, Ocymum sanctum, Emblica officinalis",HIV,N,2010-05-10 00:00:00,2010-05-14 00:00:00,
179,1286/DELNP/2005,240358,31-03-2005,Development of novel herebal formulation used as an anti-diabetic on traditional indigenous knowledge,COUNCIL OF SCIENTIFIC & INDUSTRIAL RESEARCH ,Research organization ,India,"Palpu pushpangadan, Rawat ajay kumar singh, kumar vijay dadala",India, Novel anti-diabetic herbal formulation ,Herbal formulation ,"Curcuma longa, Zingiber officinale",Antidiabetic,Y,2010-05-05 00:00:00,2010-05-14 00:00:00,
180,1495/CHE/2006,239910,23-08-2006,A synergistically stabilized herbal water and a process therefor,CENTURY BIOLOGICALS PRIVATE LIMITED,Company ,India,"Ella krishna murthy,Rudrapattana puroshotam ananda alwar,Singhani smita",India,Safe,Herbal water,-,Herbal water,Y,2010-04-09 00:00:00,2010-04-16 00:00:00,
181,1030/DEL/2004,239740,04-06-2004,An analgesic and refreshing herbal composition useful as dentrifrices.,COUNCIL OF SCIENTIFIC AND INDUSTRIAL RESEARCH,Research organization ,India,"Anil kumar singh, Ratan lal bindra, rashmi gupta, Sushil kumar ",India, Quick pain relief ,Dentifrices,"Piper betle, Levender officinal, Mentha arvensis, Ocimum gratissimum, Ocimum sanctum, Mentha pulegonium",Useful as dentrifrices,Y,2010-03-31 00:00:00,2010-04-09 00:00:00,
182,713/CHE/2004,239670,21-07-2004,A novel herbal food composition for overcoming iron deficiency in anemic patients,SHAREEFA TALHA,Individual,India,SHAREEFA TALHA,India,Non-toxic ,Herbal food composition,"Brown Rice Powder, White sugar, Coconut milk, Egg, Ghee, Garden Cress Seed powder ",Anaemia,Y,2010-03-29 00:00:00,2010-04-09 00:00:00,
183,57/MUM/2005,239572,19-01-2005,Herbal contraceptive formulations,SINGH KAMALINDER KAUR,Individual,India,"SINGH KAMALINDER KAUR,Tatke,pratima arun, dhuru , shruti",India,High spermicicdal activity ,Herbal contraceptive,Neem Based,Contraceptive,Y,2010-03-25 00:00:00,2010-04-02 00:00:00,
184,122/CHE/2004,239060,18-02-2004,A novel synergistic herbal formulation for diabetes cure,LANSON BIO TECH PRIVATE LIMITED,Company ,India,Arun kumar raja,India,"Synergistic formulation, effective ",Herbal formulation ,"Azadirachta indica, Momordica charentia, Emblica officinalis, Gymnema sylvestres, Trigonella foenum-gracum, Curcuma longa, Garcinia camboga, Commiphor mukul, Ocimum sanctum",Diabetes,Y,2010-03-04 00:00:00,2010-03-12 00:00:00,
185,377/DELNP/2004,238309,20-02-2004,Novel synergistic herbal composition as brain tonic and method for preparation thereof,COUNCIL OF SCIENTIFIC & INDUSTRIAL RESEARCH,Research organization ,India,"Palpu  pushpangadan, Ramaswami kartik, Shanta Mehrotra, Rao chandana venkateswara",India,"Safe,non toxic","Liquid,semi solid, spray dried powder","Centella asiatica, Sesamum indicum",Brain tonic,Y,2010-01-28 00:00:00,2010-02-05 00:00:00,
186,1255/DEL/2002,238258,13-12-2002,A polyherbal preparation useful for the prevention of atherosclerosis and hyperlipidemia,"DEPARTMENT OF BIOTECHNOLOGY,BHU",Research organization ,India,Tripathi yamini bushan,India,"High therapeutic effect, no toxicity",Polyherbal preparation,"Boswellia serrata, Semecarpus anacardium, Strychnos nux vomica, Termenallia arjuna, Rubia cordifolia","Artherosclerosis, hyperlipidemia",Y,2010-01-27 00:00:00,2010-02-05 00:00:00,
187,603/MUM/2004,238212,28-05-2004,Safed musli herbal composition in ready to drink form and process for preparation thereof,NANDAN AGRO FARMS PVT. LTD.,Company ,India,"Ladha kirti  shivchandraji, Bhavanasi jaya kumar, Barve kalyani Himanshu",India,"Ready to drink, safe",Safed musli Herbal composition ,Chlorophytum borivilianum,Herbaldrink,Y,2010-01-25 00:00:00,2010-02-05 00:00:00,
188,222/CAL/1999,237569,16-03-1999,"A herbal composition for the treatment of chronic obstructive pulmonary disease, bronchitis and respiratory disorders",DALMIA CENTRE FOR BIOTECHNOLOGY,Research organization ,India,Dr.Panchpagesa Muthuswamy Murali,India,Safe ,Herbal composition,"Kattuthurnatikai, Poaya, Chitra",Respiratory disorders,Y,2009-12-29 00:00:00,2010-01-01 00:00:00,
